 32349 258.7114587500 106.7131430556 -1.44
 30438 264.0121225000 142.6957180556 -0.62
 69673 146.0818858333  70.8127300000 -0.05
 71683 140.0795895833 150.8351469444 -0.01
 91262  80.7658916667  51.2170069444  0.03
 24608 280.8279350000  44.0009708333  0.08
 24436 281.3655366667  98.2016391667  0.18
 37279 245.1727579167  84.7724922222  0.40
  7588 335.5718679167 147.2366600000  0.45
 27989 271.2071283333  82.5929636111  0.45
 68702 149.0439808333 150.3729783333  0.61
 97649  62.3054912500  81.1326150000  0.76
 60718 173.3502441667 153.0990558333  0.77
 21421 291.0199979167  73.4902383333  0.87
 65474 158.7016475000 101.1612450000  0.98
 80763 112.6480520833 116.4319461111  1.06
 37826 243.6693175000  61.9736897222  1.16
113368  15.5882266667 119.6218369444  1.17
 62434 168.0695045833 149.6887325000  1.25
102098  49.6420275000  44.7196658333  1.25
 71681 140.0858716667 150.8394713889  1.35
 49669 207.9064191667  78.0328050000  1.36
 33579 255.3435554167 118.9720894444  1.50
 36850 246.3499808333  58.1113636111  1.58
 61084 172.2086279167 147.1125691667  1.59
 85927  96.5978062500 127.1037483333  1.62
 25336 278.7172158333  83.6502655556  1.64
 25428 278.4270920833  61.3921266667  1.65
 45238 221.6989966667 159.7174725000  1.67
 26311 275.9466141667  91.2019172222  1.69
109268  27.9421816667 136.9606158333  1.73
 26727 274.8103133333  91.9425783333  1.74
 39953 237.6168529167 137.3366116667  1.75
 62956 166.4931958333  34.0401569444  1.76
 15863 308.9193812500  40.1387572222  1.79
 90185  83.9568904167 124.3843147222  1.79
 54061 194.0673462500  28.2488811111  1.81
 34444 252.9021416667 116.3932077778  1.83
 67301 153.1143912500  40.6866972222  1.85
 86228  95.6703091667 132.9978216667  1.86
 41037 234.3713970833 149.5095383333  1.86
 28360 270.1176275000  45.0525650000  1.90
 82273 107.8338925000 159.0276350000  1.91
 31681 260.5720737500  73.6005852778  1.93
 42913 228.8241779167 144.7085680556  1.93
100751  53.5881266667 146.7348808333  1.94
 11767 322.0538529167   0.7358619444  1.97
 30324 264.3250525000 107.9559166667  1.98
 46390 218.1031175000  98.6586833333  1.99
  9884 328.2071425000  66.5372225000  2.01
 50583 205.0076595833  70.1581397222  2.01
  3419 349.1032154167 107.9866841667  2.04
 92855  76.1836804167 116.2965941667  2.05
 68933 148.3278137500 126.3686958333  2.06
 27366 273.0608837500  99.6696019444  2.07
 72607 137.3233525000  15.8445241667  2.07
