Lib 6  72622 74785 74785 76333 76333 72622 72622 73714 76333 76470 76470 76600
Lup 10 71860 74395 74395 78384 78384 77634 77634 75177 75177 78384 78384 76297 76297 75264 75264 74395 76297 75141 75141 73273
Lyn 7  45860 45688 45688 44700 44700 44248 44248 41075 41075 36145 36145 33449 33449 30060
Lyr 7  91262 91973 91973 92420 92420 93194 93194 92791 92791 91973 91973 91926 91926 91262
Men
Mic
Mon 9  37447 39863 39863 34769 34769 32578 32578 30419 30419 31216 31216 32578 31216 31978 34769 30867 30867 29651
Mus 6  61585 61199 61199 63688 63688 62322 62322 61585 61585 59929 59929 57363
Nor 4  80000 80582 80582 78914 78914 78639 78639 80000
Oct 3  70638 112405 112405 107089 107089 70638
Oph 18 88048 87108 87108 86742 86742 86032 86032 83000 83000 80883 80883 79593 79593 79882 79882 80628 80628 81377 81377 84012 84012 86742 83000 81377 81377 80894 80894 80569 80569 80343 80343 80473 85423 84970 84970 84012
Ori 24 28614 29426 29426 28716 28716 27913 27913 29038 29038 29426 28614 27989 27989 26207 26207 25336 25336 25930 25930 25281 25281 24436 27989 26727 26727 27366 26727 26311 26311 25930 27989 25336 25336 22449 23607 22957 22957 22845 22845 22509 22509 22449 22449 22549 22549 22797 22797 23123
Pav 12 105858 100751 100751 99240 99240 102395 102395 105858 99240 92609 92609 90098 90098 88866 88866 93015 93015 99240 99240 98495 99240 91792 88866 86929
Peg 12 107315 109427 109427 112029 112029 113963 113963 1067 1067 677 677 113881 113881 113963 113881 112158 112158 109410 113881 112440 112440 109176 109176 107354
Per 21 19167 20070 20070 19812 19812 19343 19343 17358 17358 15863 15863 14632 14632 14668 14668 14576 14576 18532 18532 17358 15863 14328 14328 13268 13268 13531 13531 14632 14328 13531 14632 12777 12777 8068 14576 14354 18532 18614 18614 18246 18246 17448
Phe 7  765 2081 2081 5165 5165 6867 6867 7083 7083 5348 5348 5165 5165 765
Pic 2  32607 27530 27530 27321
Psc 16 116771 116928 116928 115738 115738 114971 114971 115830 115830 116771 116771 118268 118268 3786 3786 4906 4906 7884 7884 9487 9487 8198 8198 7097 7097 5742 5742 5586 5586 6193 6193 5742
PsA 9  107608 107380 107380 109285 109285 111188 111188 112948 112948 113246 113246 113368 113368 111954 111954 109285 109285 107608
Pup 10 39953 39429 39429 39757 39757 38170 38170 37229 37229 36917 36917 35264 35264 31685 31685 30438 38170 37677 37677 36917
Pyx 3  43409 42828 42828 42515 42515 39429
Ret 4  19780 19921 19921 18597 18597 17440 17440 19780
Sge 3  98337 97365 97365 96757 97365 96837
Sgr 17 89642 90185 90185 88635 88635 89931 89931 90496 90496 92041 92041 92855 92855 93864 93864 93506 93506 90185 90185 89931 89931 92041 92041 93506 90496 89341 93085 93683 93683 94141 94141 95168 93085 94141
Sco 16 87261 85696 85696 86670 86670 87073 87073 86228 86228 84143 84143 82729 82729 82514 82514 82396 82396 81266 81266 80763 80763 80112 80112 78401 78401 78265 78265 78104 78401 78820 78820 79374
Scl 3  4577 117452 117452 115102 116231 115102
Sct 4  91117 92175 92175 91726 91726 90595 90595 91117
Ser 9  79593 77516 77516 77622 77622 77070 77070 76276 76276 77233 77233 78072 78072 77450 77450 76852 76852 77233
Ser 4  92951 89962 89962 88048 88048 86263 86263 84012
Sex 3  51362 51437 51437 49641 49641 48437
Tau 11 25428 20889 20889 20455 20455 20205 20205 20894 20894 21421 21421 26451 20205 18724 18724 16083 16083 18907 16083 15900 15900 16852
Tel 2  89112 90422 90422 90568
Tri 3  8796 10064 10064 10670 10670 8796
TrA 3  74946 77952 77952 82273 82273 74946
Tuc 6  110838 110130 110130 114996 114996 2487 2487 1599 1599 118322 118322 110838
UMa 21 67301 65378 65378 62956 62956 59774 59774 54061 54061 53910 53910 58001 58001 59774 54061 46733 46733 41704 41704 48319 48319 53910 46733 48319 48319 46853 46853 44471 44471 44127 58001 57399 57399 54539 54539 50801 50801 50372 57399 55219 55219 55203
UMi 7  11767 85822 85822 82080 82080 77055 77055 72607 72607 75097 75097 79822 79822 77055
Vel 9  38827 39953 39953 44816 44816 46651 46651 50191 50191 52727 52727 48774 48774 45941 45941 42913 42913 39953
Vir 14 60129 57757 57757 57380 57380 58948 58948 60129 60129 61941 61941 66249 66249 68520 68520 72220 66249 69701 69701 71957 63608 63090 63090 61941 61941 64238 64238 65474
Vol 6  44382 39794 39794 34481 34481 35228 35228 39794 39794 41312 41312 44382
Vul 1  95771 97886
