350.6103955489  53.5333075740  AND 347.2081353027  48.8058971934 Andromeda
206.2871388990 125.4923266234  ANT 206.2217042298 126.8085693920 Antlia
132.7954956517 168.3567444944  APS 111.9749936186 164.6934797736 Apus
 18.6679361604  99.7519737091  AQR  30.0982054421  95.1037987193 Aquarius
 71.8053736678  87.1371930460  AQL  66.9477017122  84.9628386295 Aquila
 96.9623534032 143.6743159365  ARA 105.3581598088 142.6524272650 Ara
318.7335144269  70.3863493724  ARI 320.7249326163  67.1223202547 Aries
277.0288666002  53.2633893166  AUR 277.8188711901  52.9937572422 Auriga
137.4540873090  58.1968773252  BOO 135.4575422155  48.5350256857 Bootes
289.4266888342 130.2888764355  CAE 290.2698191517 130.0338898917 Caelum
291.3374508170  19.1717319056  CAM 294.2646860158  32.2791810859 Camelopardalis
229.0909785105  76.2524467050  CNC 232.6846173385  76.5560328293 Cancer
165.4802039026  50.3914498522  CVN 164.9059428630  47.9735284242 Canes Venatici
258.0619366174 102.0955654352  CMA 256.4844748077 101.8899174978 Canis Major
244.0954397061  82.9383747302  CMI 247.7784982758  79.4085625021 Canis Minor
 54.0311784981 112.8276398194  CAP  45.1819208633 107.5349348442 Capricornus
245.2602927056 145.5455781458  CAR 239.0322810309 150.5073507264 Carina
342.8547272324  33.3911834435  CAS 345.7788491629  25.7806307551 Cassiopeia
156.2830619848 135.6443777566  CEN 161.8413151712 136.5829125532 Centaurus
 21.7648460843  19.5971529141  CEP  15.4070083792  19.2617805770 Cepheus
336.3413212252 103.7724628632  CET 336.7873114617 103.7877642448 Cetus
193.5613188240 168.4595565399  CHA 203.7521601793 170.5114552671 Chamaleon
134.3333081641 152.7364818958  CIR 134.3333081641 152.7364818958 Circinus
274.7028042335 131.7964528329  COL 270.9144221804 130.5155346424 Columba
167.4057573417  66.2565146675  COM 169.3398939228  74.9287963917 Coma Berenices
 76.9237239182 131.2691773507  CRA  81.1146416964 132.4387103772 Corona Australis
123.2885677143  61.8695418907  CRB 122.2264138375  60.6886757080 Corona Borealis
174.0701493381 111.6455139702  CRV 174.5361329869 111.6193552388 Corvus
185.6080561218 105.8549499391  CRT 189.7837114240 110.4217381005 Crater
171.8904216847 145.9092945473  CRU 171.5442885112 146.1455932114 Crux
 47.2476854716  50.5511917194  CYG  46.3937213618  50.5378719942 Cygnus
 49.6744756557  71.3463899568  DEL  49.6744756557  71.3463899568 Delphinus
287.7475087187 148.5891882388  DOR 282.5579278846 151.2044421538 Dorado
107.2598664144  27.3375538773  DRA 104.8985074768  27.7527500111 Draco
 40.8694242966  82.9641706971  EQU  41.7580438945  82.5188781607 Equuleus
313.8750932425 106.4113772586  ERI 311.2346588249 110.8143705990 Eridanus
316.9546256108 120.0318024979  FOR 313.9392612423 118.5329646396 Fornax
251.9076230317  63.4633221919  GEM 253.8402288854  58.8948733588 Gemini
 19.1277736165 135.9149095376  GRU  19.1949475384 132.2042367302 Grus
106.3876317946  56.0402969815  HER 102.2080571565  50.1399733838 Hercules
306.0134977194 138.8607328601  HOR 309.5213507832 139.9319100949 Horologium
189.2854937171 119.4954220975  HYA 189.2854937171 119.4954220975 Hydra
315.5359191867 161.7709524621  HYI 315.5297069121 161.5594158618 Hydrus
 45.2164984860 143.7422863663  IND  45.5437707908 140.9551651291 Indus
 22.8903354170  45.6985781619  LAC  22.8903354170  45.6985781619 Lacerta
200.4349921032  74.7495055609  LEO 202.0338908542  74.5740537299 Leo
200.0216919854  52.6612209537  LMI 208.2734024383  56.7763539483 Leo Minor
278.0925060864 106.2995863568  LEP 277.9065371321 115.9811273517 Lepus
132.4362231419 106.5242929909  LIB 131.9823707172 106.0756292968 Libra
124.5964675428 128.3632624073  LUP 130.1011992588 125.2131135170 Lupus
244.8250966408  39.8014198620  LYN 252.3646755788  36.6051191183 Lynx
 76.9355610444  49.7243825493  LYR  77.5273222633  49.2961748409 Lyra
282.1900112206 164.6187928008  MEN 285.4146869775 163.9944849449 Mensa
 43.0538005234 121.5065590990  MIC  46.3709863137 121.0820327875 Microscopium
248.3571603858  93.6340112839  MON 253.6814249927  93.6575403083 Monoceros
160.2711004310 160.2888040075  MUS 166.2174649844 164.3765198458 Musca
112.9741486506 137.6531360610  NOR 119.8699753446 146.4813839235 Norma
 16.3796212667 169.2910390324  OCT  15.5725963012 175.9554549795 Octans
105.1537416988  92.8385715837  OPH 105.5998832244  93.0609048040 Ophiucus
274.8644545092  86.3079929304  ORI 275.0807725180  86.3055342330 Orion
 68.6744090570 160.6391724386  PAV  74.4812103670 160.1194247755 Pavo
  5.8312543753  69.0024854296  PEG   6.3081197313  69.1975041449 Pegasus
306.3932430766  46.8528088811  PER 307.1528181811  45.7069068446 Perseus
335.7426563346 136.3925512595  PHE 345.1942380649 132.4114529871 Phoenix
277.2156451852 142.7481813690  PIC 277.6848167678 140.0010290692 Pictor
335.9505092966  83.4712518912  PSC 343.2347460380  79.4690068348 Pisces
 23.2847281493 119.8469957212  PSA  26.7893766643 125.3935374045 Pisces Austrinus
246.1507773469 129.3210491194  PUP 252.9180635840 130.2988343368 Puppis
224.1922946688 123.6603095786  PYX 227.5170639260 120.8195405656 Pyxis
305.8152416851 152.2449083103  RET 300.7250229744 148.0555064589 Reticulum
 68.5032133146  72.1113158170  SGE  69.6514122723  71.8551494702 Sagitta
 79.3796553047 115.7300318076  SGR  72.5931768546 124.0107194278 Sagittarius
112.6101472479 123.3894388901  SCO 109.6839789037 122.4478859487 Scorpius
  0.7380667674 123.7567152730  SCL 353.3460112389 126.8945147138 Sculptor
