   677 358.9769422124  62.8190312615 Alpheratz
   746 359.4727007512  32.7596412615 Caph
  1067 357.6721833680  76.7262434838 Algenib
  2081 355.4033091264 130.6602158186 Ankaa
  3179 353.0480365247  35.2475953465 Shedir
  3419 350.1397534512 110.5603360465 Diphda
  5447 343.7154719064  56.2890287615 Mirach
  6411 340.7340941346  46.3811026504 Adhil
  6686 338.9022042258  28.0321420765 Ruchbah
  7588 336.3798350053 149.9548235338 Achernar
  8645 333.9029954091  97.1417902202 Baten Kaitos
  8796 332.1206272607  58.3488340709 Mothallah
  8832 333.7651009053  72.9842463589 Mesarthim
  8903 333.4599995913  70.8098351127 Sheratan
  9487 330.4433665518  89.1460987615 Alrescha
  9640 330.5467415940  50.8573630344 Almaak
  9884 328.6397213477  64.7173946052 Hamal
 10826 325.1633891667  92.9770605556 Mira
 11767 342.7411750485   2.6457212615 Polaris
 13701 316.8603015943  97.3266653813 Azha
 13847 316.6283759330 128.2601225265 Acamar
 14135 315.3857084095  88.7114046060 Menkar
 14576 313.5488261209  47.4454878295 Algol
 14838 315.8916174034  72.8417934079 Botein
 15197 311.7981182560  96.8106580863 Zibal
 15863 311.3538319930  42.6571552429 Mirphak
 17448 304.8356699524  56.1879654909 Atik
 17489 306.0983035047  69.3040069056 Celaeno
 17499 305.5367852463  72.1471203806 Electra
 17531 306.6004424352  62.7495398581 Taygeta
 17573 306.7846671293  64.7842763642 Maia
 17579 306.6563762064  67.0119672664 Asterope
 17608 305.0852896346  74.5013771083 Merope
 17702 306.3377328723  60.5039474635 Alcyone
 17847 304.1000944755  76.5685690071 Atlas
 17851 305.9419861945  58.3322907068 Pleione
 18543 301.4833704195 105.4181040393 Zaurak
 18614 301.5582253564  52.6211266224 Menkib
 19587 298.4226372426  94.8833433420 Beid
 19849 297.5758694404 100.1733226632 Keid
 20889 293.8461287516  72.7293384838 Ain
 21421 292.0067915358  75.4000976504 Aldebaran
 23875 283.9994513538  96.9961220949 Cursa
 24436 282.3355323305 100.1114984838 Rigel
 24608 283.0650371834  45.6737522887 Capella
 25336 277.9113731163  81.4245463186 Bellatrix
 25428 279.5037850111  63.5196762428 Alnath
 25606 279.1549588209 114.2173705083 Nihal
 25930 277.9536417306  88.2907479081 Mintaka
 25985 278.7641319929 109.7669895358 Arneb
 26207 277.0618228555  77.2303647708 Meissa
 26311 277.3407325234  92.2326389585 Alnilam
 26634 276.4070556471 122.5111612032 Phact
 26727 276.4206026722  94.5175238396 Alnitak
 27366 274.0356526193 101.5794612615 Saiph
 27628 273.9390928422 128.1627747508 Wazn
 27989 271.9143279448  79.3954868070 Betelgeuse
 28360 271.5806622190  41.9649872561 Menkalinan
 29655 264.5490022304  65.2842434734 Propus
 30122 265.9355585600 118.5660886091 Furud
 30324 265.3404044587 109.8657759838 Mirzam
 30343 265.9253024092  70.0929076198 Tejat
 30438 265.6608218341 144.6055773727 Canopus
 31681 261.2375167095  71.9750932532 Alhena
 32246 259.6809271944  63.2554791629 Mebsuta
 32349 260.7273923390 104.1832072104 Sirius
 33579 256.9234929417 117.8604317263 Adhara
 34045 254.5860629286 111.5406621025 Muliphein
 34088 252.8327995989  68.4659709383 Mekbuda
 34444 254.4954776692 115.2475420468 Wezen
 35550 250.1410218078  65.3101568552 Wasat
 35904 249.5563202582 121.6230018131 Aludra
 36188 249.1730785199  83.6204504282 Gomeisa
 36850 244.0672295634  56.8267479447 Castor
 37279 246.1292906877  86.6823515393 Procyon
 37826 241.5846944265  60.5155266335 Pollux
 39429 240.2944974244 132.3375387253 Naos
 39953 239.0796597169 139.2464709838 Regor
 40167 237.8726468320  75.1237715592 Tegmine
 41037 235.6632126233 147.9703657828 Avior
 41704 234.2770604372  31.1914282060 Muscida
 42806 230.5306880937  67.3550080228 Asellus Borealis
 42911 229.6874141771  70.4308387173 Asellus Australis
 44066 226.3478518117  80.0520873727 Acubens
 44127 226.5744839697  43.8675098727 Talitha
 44816 224.0485363667 135.3403231899 Suhail
 45238 222.5241831609 162.8852886960 Miaplacidus
 45556 221.1241250010 153.1025040377 Aspidiske
 46390 219.0745259404 100.5685426504 Alphard
 46750 218.0930993551  68.9417937615 Alterf
 47508 215.6762817952  82.0174604282 Subra
 48455 212.5831448233  62.4733962497 Rasalas
 49669 209.4260327429  75.9274619501 Regulus
 50335 206.8538800550  68.4925309838 Adhafera
 50372 206.7690788482  50.2863515314 Tania Borealis
 50583 206.0113457146  72.0679990393 Algieba
 50801 205.0675650040  52.5496149483 Tania Australis
 53740 196.0727857318 110.2089565393 Alkes
 53910 196.1449962004  36.8204670918 Merak
 54061 195.9680917256  30.1587404282 Dubhe
 54872 192.4911255277  72.0515533125 Zosma
 54879 193.5686706899  77.7867151779 Chertan
 55203 191.1014795881  62.3362425616 Alula Australis
 55219 191.5195440621  59.4588267794 Alula Borealis
 56211 189.6359002906  22.5787376504 Giausar
 57632 183.8126330506  78.8373887561 Denebola
 57757 183.4969533783  85.9977018937 Zavijava
 58001 183.0863999394  38.2151262615 Phad
 59199 178.4976699199 116.6844515439 Alchiba
 59774 177.0526420949  31.2916095122 Megrez
 59803 177.0607856507 109.4518429282 Gienah
 60129 175.9785236281  91.4619886528 Zaniah
 60718 174.3131780660 155.7453661911 Acrux
 60965 173.8212663740 105.1185915303 Algorab
 61084 174.6516749337 148.1043458129 Gacrux
 61317 172.7987278585  50.5530915393 Chara
 61941 170.3188139092  94.6867151855 Porrima
 62434 171.0672981990 151.9932968596 Mimosa
 62956 168.1197729025  35.9500162615 Alioth
